Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
3392,1,23,Scientist,19114.12,1824.8433333333328,3,4,3,4,3,7.0,809.98,26.822619623699016,265.0,No,49.57494921489417,80.41529543900253,High_spent_Small_value_payments,312.49408867943663,Good
8625,1,28,other,34847.84,3037.986666666666,2,4,6,1,3,4.0,605.03,24.46403063758457,319.0,No,18.816214573128885,104.291825168246,Low_spent_Small_value_payments,470.69062692529184,Standard
11708,1,34,other,143162.64,12187.22,1,5,8,3,5,8.0,1303.01,28.616734823006844,213.0,No,246.9923194537421,168.413702679309,Low_spent_Small_value_payments,1043.3159778669492,Good
47249,1,54,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,0,6.0,632.46,26.54422872407309,207.0,No,16.415451659824875,81.22885871073616,Low_spent_Large_value_payments,433.6047729627723,Standard
10314,1,33,Lawyer,131313.4,11242.783333333333,0,1,8,2,0,3.0,352.16,32.200508995391914,367.0,NM,137.6446054014217,378.1712535207537,High_spent_Medium_value_payments,858.462474411158,Good
16727,1,23,Doctor,114838.41,9843.8675,2,5,7,-100,13,11.0,1377.74,33.66455429077268,256.0,No,226.8927919215432,215.19351594560425,High_spent_Small_value_payments,802.3004421328528,Good
42603,1,40,Teacher,33751.27,2948.605833333333,5,5,20,3,16,20.0,1328.93,37.08907564543987,230.0,NM,65.00817428651536,117.30669710658556,High_spent_Medium_value_payments,362.5457119402324,Standard
49323,1,32,Engineer,88640.24,7266.686666666667,3,6,1,2,-1,0.0,950.36,28.210617211444603,305.0,No,135.17337097171767,98.93176402067012,High_spent_Large_value_payments,732.563531674279,Standard
15941,1,35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,8.0,179.22,25.64924606724341,322.0,Yes,124.39208242092045,243.7354373920944,Low_spent_Large_value_payments,378.54048018698535,Standard
27750,1,39,Manager,8701.545,4199.465763386277,6,5,32,7,23,9.0,2602.69,24.523163853918167,107.0,Yes,36.54819717138717,13.066209919444336,Low_spent_Large_value_payments,272.2984679091685,Poor
4084,1,36,Entrepreneur,25546.26,2415.855,8,7,14,5,16,14.0,758.44,37.41820916883601,218.0,NM,101.3286373638512,53.104599112612064,High_spent_Medium_value_payments,337.1522635235368,Standard
13266,1,30,Scientist,31993.78,2942.148333333333,6,6,7,2,8,14.0,818.22,25.36959679239191,202.0,Yes,45.14129822463578,81.99883505710139,Low_spent_Medium_value_payments,447.0747000515962,Standard
24688,1,20,Accountant,92047.08,4199.465763386277,6,7,16,0,16,11.0,1296.64,37.11561494309292,350.0,Yes,0.0,154.6341231395093,Low_spent_Small_value_payments,854.5248768604907,Standard
4059,1,45,Teacher,32284.62,2898.385,6,7,17,6,11,12.0,1283.37,28.94089258854545,77.0,Yes,103.03756035536594,254.86161508896944,Low_spent_Medium_value_payments,211.93932455566463,Standard
13651,1,26,Musician,97791.42,8079.285,6,6,12,0,18,8.0,107.41,25.71557884311532,326.0,Yes,0.0,451.24651936958776,Low_spent_Small_value_payments,646.6819806304122,Standard
4911,1,41,Musician,19514.88,1828.24,7,5,17,0,30,12.0,881.4,26.084542750932684,231.0,NM,0.0,50.14372713919671,High_spent_Medium_value_payments,382.6802728608033,Standard
44166,1,19,Entrepreneur,106733.13,8873.4275,4,4,1,0,10,8.0,76.23,29.815895626895166,393.0,No,0.0,388.36035366098815,Low_spent_Large_value_payments,768.9823963390119,Good
23368,1,31,Lawyer,12600.445,782.0370833333334,5,5,10,-100,28,19.0,569.8,33.07588356651339,147.0,Yes,26.060347529205966,0.0,High_spent_Large_value_payments,284.2982044805207,Standard
19779,1,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,22,14.0,614.6,23.723185779641085,214.0,No,42.22199265643221,10000.0,Low_spent_Small_value_payments,253.3256223508209,Standard
47455,1,30,Writer,34290.12,2697.51,9,8,25,7,52,10.0,2686.81,39.28029558815228,164.0,NM,185.1119825795006,248.06995733765265,Low_spent_Large_value_payments,106.56906008284685,Poor
16092,1,32,Accountant,43070.24,4199.465763386277,3,3,18,1,11,8.0,1233.1,27.98070066380292,230.0,Yes,30.57608482316153,397.00224891024857,Low_spent_Small_value_payments,224.64033293325656,Standard
49150,1,40,Architect,28572.39,2210.0325,6,3,15,3,25,12.0,400.07,24.42225068036204,363.0,Yes,69.60292048199007,42.85050714738581,High_spent_Large_value_payments,348.54982237062416,Standard
39537,1,54,Scientist,20186.02,1684.168333333333,1,5,1,2,5,6.0,413.32,35.94290748551229,219.0,No,29.534583720496048,74.21434055467658,Low_spent_Large_value_payments,334.6679090581607,Good
24648,1,43,Musician,18627.64,1387.303333333333,7,7,19,6,31,21.0,1793.54,38.9796611529839,225.0,NM,65.13948777561222,48.43998334767114,High_spent_Medium_value_payments,275.15086221005004,Poor
38325,1,21,Engineer,12986.745,959.22875,4,3,10,2,30,14.0,1489.49,26.32926887043728,104.0,Yes,16.719300227776053,16.286719355483015,High_spent_Medium_value_payments,312.91685541674093,Standard
16388,1,43,Writer,58317.0,4664.75,8,5,9,6,18,17.0,98.97,40.4111148274711,157.0,Yes,149.89719942100822,109.48894961827229,Low_spent_Small_value_payments,467.0888509607195,Standard
45313,1,36,Scientist,42171.98,4199.465763386277,2,7,10,3,4,10.0,556.91,33.47895196844123,257.0,No,102.7629131170904,56.71137669245967,High_spent_Medium_value_payments,466.9588768571167,Standard
39828,1,36,Manager,71681.4,5799.45,3,518,15,1,7,8.0,1293.02,40.33902428965335,307.0,Yes,53.92351397165268,301.2920819088937,Low_spent_Small_value_payments,514.7294041194536,Standard
28778,1,19,Engineer,72559.36,6284.613333333334,4,5,17,4,14,21.0,1173.7,23.282135114409623,335.0,No,215.83917063897167,565.7433852667033,Low_spent_Large_value_payments,116.87877742765828,Standard
17068,1,36,Musician,15566.02,1423.168333333333,8,5,32,4,16,1338.0,1693.95,37.40993371585021,94.0,Yes,43.07051960231588,65.9865855206332,Low_spent_Small_value_payments,323.25972821038425,Poor
22303,1,18,Developer,66567.32,5800.276666666668,5,7,5,2,7,15.0,233.79,34.45627234127101,291.0,No,37602.0,251.6474222267431,Low_spent_Small_value_payments,518.1908835490624,Standard
46591,1,32,Media_Manager,12909.895,853.8245833333333,5,5,13,0,22,14.0,602.5,31.35686817783082,205.0,No,0.0,20.446680591816467,Low_spent_Large_value_payments,334.93577774151686,Standard
3173,1,21,Lawyer,148699.32,12432.61,3,4,748,3,13,8.0,949.38,41.687213348432586,367.0,No,364.9151774048712,296.1518279313217,High_spent_Large_value_payments,822.1939946638072,Good
44763,1,19,Musician,85554.03,7185.5025,4,2,3,0,12,7.0,1095.73,33.434371517540995,235.0,No,0.0,162.99558622762183,High_spent_Large_value_payments,795.554663772378,Good
39740,1,43,Lawyer,81842.28,4199.465763386277,10,9,25,9,20,19.0,3053.16,39.43016630693703,4.0,NM,574.0657978713467,162.58872416902926,High_spent_Medium_value_payments,194.364477959624,Standard
2836,1,25,Manager,49967.01,4091.9175,7,6,31,6,27,11.0,2253.95,28.875737694025297,202.0,Yes,156.00331166279182,66.93199534699997,High_spent_Large_value_payments,426.2564429902082,Poor
47494,1,14,Developer,39887.22,3224.935,9,9,16,5,57,21.0,3119.6,30.18805936357039,149.0,Yes,133.47084524343262,198.9967507987873,Low_spent_Medium_value_payments,270.0259039577801,Poor
